Names	total	elements
		SELENOF
		RNF19B
		LPCAT2
		ABCE1
		LDHA
		PDPK1
		BEND7
		SPIN4
		EBF3
		EGFLAM
		SLC26A4
		FAM53C
		SLC30A4
		CCNYL1
		CSNK1D
		C8orf88
		CSMD1
		ANO7
		VPS13A
		OSBPL6
		GRIA3
		GOPC
		RP2
		NUP50
		SPIN1
		CRISP3
		GPR88
		PRICKLE2
		ZMAT3
		STATH
		EEF1A1
		WDR47
		SLC25A25
		FOXP4
		PRDM11
		ZNF140
		ST3GAL2
		CLEC3A
		VPS26C
		SLU7
		CC2D2A
		DSC3
		TRIM67
		NSF
		CDYL2
		SERINC5
		DUSP6
		ADGRB3
		C17orf58
		METTL9
		CHRNA1
		SLC2A12
		WIPF2
		BRIP1
		PIK3CG
		SEC24C
		TTC28
		JMY
		HAND1
		HOMER1
		CALU
		SECISBP2L
		FAR1
		WDR72
		PCM1
		HPRT1
		SHISA9
		MRPL49
		SMU1
		MTRNR2L3
		PIP4K2C
		USF1
		SLC12A5
		GABRA4
		SUGP2
		DEPTOR
		SPATA5
		CD96
		PSMD1
		DNAJB5
		HBS1L
		PCP4
		FOXP1
		APOBEC3G
		ENC1
		EEF1AKMT2
		CCDC198
		ZNF326
		UBE2V2
		PLAC8
		KCNK5
		FMNL2
		SNAI2
		DPP10
		IL2RB
		PPP4R4
		RMI2
		DAAM1
		NPC1
		MBOAT2
		DPY19L1
		VPS13B
		RPS6KB1
		POLR3B
hsa-miR-106-5p.txt hsa-miR-144-3p.txt	191	BTG2
		RNF38
		SALL1
		KBTBD8
		FAT4
		sept-02
		TET3
		TIGAR
		INTS6
		KPNA2
		LGI2
		BMT2
		CEP170
		LCOR
		OTUD4
		MAP3K13
		FAXC
		CRIPT
		RGL1
		SLITRK4
		RARB
		CNOT6
		ITPRIPL2
		GNB4
		KIF14
		NFE2L2
		PRRX1
		ZNF805
		SCN1A
		SCN3A
		DSTYK
		ELAVL2
		POLR3G
		ZNF827
		CBX1
		ZNF362
		GK5
		SLC30A7
		FAM199X
		ARHGAP26
		PTPN4
		GABRA1
		WEE1
		PLPPR5
		BBX
		TNRC6B
		MCF2L
		STARD8
		FEM1C
		FLT1
		NOL4
		FAM8A1
		C9orf72
		SH3TC2
		PPP3R1
		TNFSF11
		PURA
		CREB1
		SMAD1
		ZBTB21
		SLAIN2
		DDIAS
		SINHCAF
		PPP2R2A
		CAPS2
		MYCN
		ATXN1L
		SLC25A36
		RAB11FIP1
		KIF13A
		CAMTA2
		PKIA
		ZNF532
		ZDHHC21
		MED12L
		BICD2
		PURB
		FBXL3
		ITCH
		PLEKHG1
		GABBR2
		SKIL
		SOBP
		TOLLIP
		POU2F1
		PDK3
		AKAP11
		BNC2
		SLC4A4
		CAAP1
		KCNJ8
		ACSL4
		MAP3K9
		BRWD1
		ZNF445
		KLF3
		AP1G1
		NETO2
		GJA1
		FAM129A
		SAMD12
		CTDSPL2
		DCBLD2
		YTHDF3
		ZNF148
