Names	total	elements
		SUV39H2
		ABI2
		IKZF3
		TMEM87B
		PALM2
		PDP1
		GNG12
		UBN2
		MOB4
		GLG1
		SLC35A5
		KIF2A
		MED14
		TSN
		HDHD2
		ALDH1L2
		MGST1
		FRYL
		ADRA1A
		ARHGEF38
		TBC1D9B
		RGS14
		FN1
		GOLGA8N
		ASH1L
		ZNF275
		NEK6
		MAGOHB
		SNN
		C6orf62
		ZC3H6
		ALG6
		KCNJ6
		ANKRD20A1
		RALGPS1
		ARHGAP42
		DOK4
		MANF
		SEC63
		C17orf100
		KCTD10
		TNRC18
		ADRB1
		CMYA5
		DIXDC1
		SEMA3G
		NSD1
		AMMECR1
		EDAR
		ATP2B2
		HDGFL3
		CAV3
		PREX2
		PI15
		SGK1
		SNX13
		ZNF705E
		DSE
		JAK2
		RAD54B
		GTF2H5
		PANK1
		HYPK
		ACBD7
		NF1
		ATXN7
		EFCAB5
		CHN2
		TGIF2
		CCNK
		DNMT3A
		MARCH3
		IMPACT
		BEGAIN
		THAP5
		PDCD6IP
		NPY1R
		PGGT1B
		GCNT2
		KCNN3
		KIAA0232
		WIF1
		DVL1
		STRN3
		TMOD2
		SLC44A5
		LUZP2
		SIK2
		CUL3
		MXRA5
		PDE4D
		ZKSCAN1
		NR1D2
		KLRC4
		NPNT
		WSB1
		CDKN2B
		DRP2
		ENPP2
		SLC7A11
		CDS2
		GOLGA6L9
		CEP68
		CAVIN2
		SNRNP48
		DECR2
		LCE1E
		PTPN9
		ABCA12
		RPS24
		NIPA2
		MAGI1
		PWWP2A
		ARID2
		SP4
		FOXO1
		FUT8
		GFRA2
		ZC2HC1A
		CDH20
		STAT1
		GCLC
		RBMXL1
		ATXN3L
		RPP30
		MYOCD
		SLC2A1
		PQLC3
		PTGER4
		SMARCA1
		CD109
		ADCY1
		NR2F2
		CTTNBP2
		CR1
		SLC22A3
		ACER3
		KLHDC1
		EFEMP1
		AJAP1
		TRIM24
		ALS2
		GRIN3A
		CHTOP
		ASPN
		MYO1E
		USP38
		ZFX
		HMGCR
		GPR155
		MYBL1
		VPS35
		AP1S3
		OGFRL1
		CD302
		TRPM7
		YWHAG
		IL20
		SLC35F5
		ZIC5
		TSPAN12
		SHE
		GATA3
		FMR1
		KCTD4
		VKORC1L1
		FAHD2B
		CNTD1
		CBX4
		PFKFB2
		BRPF1
		KIDINS220
		PNMA2
		PRPH2
		TFB1M
		ZNF705D
		CEP63
		CBLL2
		TNRC6A
		THUMPD3
		PTBP3
		PLAT
		NLK
		PCDH20
		NDST3
		VPS4B
		ADAMTS15
		GBE1
		TNPO1
		ZNF268
		ENOX1
		PLGLB2
		TFAP4
		AFAP1
		PAPOLG
		PGAP1
		TIAM2
		NKX3-1
		USF3
		TMEM196
		TRAK2
		RIOK2
		STAG1
		SORCS3
		CD28
		APOOL
		SMARCA4
		BAZ2B
		SOHLH2
		MCOLN3
		ZDHHC20
		CEP55
		TENM3
		MPHOSPH6
		KCNG3
		TBL1XR1
		DENND6A
		ELOVL2
		MED13
		RAB4A
		TRA2A
		THBS1
		KLB
		CAMSAP2
		TAL1
		ABCC5
		PTPRG
		AFDN
		C19orf73
		CCNE2
		SMPD3
		DNAJC21
		MBTD1
		GRID2
		LRP2
		SEMA6D
		MBTPS2
		TBX18
		GSPT1
		PMPCB
		NID2
		PLA2G7
		SYT11
		SELENOI
		DDX43
		SLC26A2
		RNF111
		CHST12
		SMIM6
		TMEM189-UBE2V1
		ARHGAP5
		CACNB2
		CELF2
		MAP3K4
		ZBED4
		SSR1
		GOLGA6L4
		VSTM2A
		SOX1
		LRP12
		HAT1
		H2AFV
		NACC1
		NAB1
		TRMT10A
		P4HA1
		GPR85
		CA8
		ZNF772
		UBE2A
		ADAMTS3
		ABHD17B
		LMO7DN
		TM9SF3
		GLI2
		RNF139
		ALDH1A3
		TGIF1
		MNT
		PLGLB1
		ZCCHC2
		PAXBP1
		BAG5
		SLC39A10
		KIF3A
		TAB3
		IMPA1
		CPS1
		SBSPON
		STAM2
		DMD
		FSBP
		ZNF737
		FPR2
		NOVA1
		KCNH7
		IDH1
		DLG5
		RAB1A
		ANKRD20A4
		NFXL1
		RGS17
		ZHX1
		CENPK
		CAV2
		SPHKAP
		TUBGCP5
		IGF2R
		UBE2V1
		BEX3
		KLHL11
		MT1A
		ORC4
		ZNF207
		JPH1
		SUCLG2
		UBAP2
		NCOA7
		CCDC152
		ZNF804A
		GALNT1
		RSL1D1
		FZD4
		SNAPC3
		RBM25
		SEC24A
		LRAT
		MMP19
		SGK3
		WDR3
		GSTM2
		NRK
		PABPC1L2B
		C9orf3
		MINAR1
		PPARGC1B
		RHOBTB1
		MAP7D1
		FAM222A
		TMEM26
		RBAK
		RANBP9
		HGF
		NUDT21
		ARID1A
		PDE4A
		TP53BP2
		COL12A1
		SAV1
		XYLT1
		BTAF1
		SYAP1
		NYAP2
		SLC19A2
		UCK2
		LBR
		CDYL
		TBC1D19
		ANKS1A
		ERBB4
		SLC30A9
		E2F8
		ACTR3
		ZNF485
		ATRX
		WASL
		MPZL2
		RAC1
		MBNL2
		PTEN
		APOBEC4
		RAP1A
		MEX3B
		TRIO
		POU4F2
		LOC441155
		SLC15A5
		FAM151B
		RO60
		SPATA5L1
		ZNF248
		FABP7
		EXOC5
		MFSD6
		CALB1
		NRP1
		LYRM2
		ATAD2B
		GPR83
		DIP2C
		ACYP2
		SLC23A2
		NOS1
		STX2
		BMPR1A
		LIN54
		ARPP21
		RMDN2
		PAIP2
		ZNF197
		SLC2A13
		FBN2
		JADE3
		PHF3
		DICER1
		RPL7L1
		PGRMC2
		ZBTB38
		TBC1D5
		ANGPTL3
		SLC16A12
		EZH2
		MRGBP
		MARK1
		LSM14A
		EDC3
		BCLAF3
		DBX2
		RASD2
		IPO8
		PARVA
		JAKMIP2
		KIF5B
		PRKG2
		ZPBP2
		SLCO3A1
		NCF2
		IDH2
		SPRTN
		EFHD1
		PAX9
		MYEF2
		MEF2A
		BCL9
		RAB14
		GRK3
		CHD6
		ZSCAN26
		FKBP14
		CCDC186
		HAUS6
		PRKD3
		IFFO2
		PTPRB
		MYOT
		ITSN2
		ODR4
		DSG2
		AEBP2
		RHOA
		ITGA8
		GET4
		GRIK4
		CXCL11
		TP53INP2
		ANTXR2
		PEX1
		RET
		PLXNC1
		MYO16
		SLC12A2
		TMEM165
		IREB2
		STOX2
		GRSF1
		ZIC4
		ZFP36L2
		PBRM1
		MYT1
		USP9X
		DYRK2
		NR3C1
		PIK3C2A
		NEK7
		ARNTL2
		EMP1
		PROSER1
		PPP1CC
		MTOR
		FAM222B
		PRH2
		C17orf107
		ZFHX4
		KIAA1217
		ABTB2
		ZC3H12A
		TMTC3
		ANO1
		CCR2
		PDE8A
		PLA2G4A
		CGGBP1
		HIGD1A
		HOXA10
		EXOC8
		MAML3
		GABRB2
		SLIT3
		ZNF792
		ST3GAL6
		MYH10
		GPR176
		ANKRD11
		ITPR1
		DUSP1
		SHPRH
		CYB561D2
		TGFBR1
		TBX1
		LRPPRC
		PDS5B
		SETD5
		MRPL35
		MEGF9
		HTRA3
		IL15
		WDR78
		DCAF7
		HEATR4
		GRHL3
		ZSWIM6
		PNRC1
		ATP5MC2
		MED6
		TJP1
		TRIB1
		PTX3
		MARCH7
		ZNRF2
		GART
		DAZ1
		PRPSAP1
		GRAMD4
		PTCH1
		GJB7
		KAT6A
		CMTM6
		BHLHB9
		CCNT2
		SULT4A1
		HOXA7
		PIEZO1
		ZFP82
		DIMT1
		SOAT1
		CTNNA3
		ARHGAP23
		ABHD17C
		IFRD1
		TSPAN5
		KPNA1
		RAP2B
		ZNF260
		TRAPPC3L
		ANGPT1
		MTMR9
		LMTK2
		SEMA6A
		MTX3
		ICK
		SEL1L
		LHX1
		CNEP1R1
		TMEM67
		NCKAP1
		TMSB4Y
		GOLGA7
		DNAJC6
		TPD52
		PRKCE
		MCTS1
		CNTN3
		GOLGA8M
		C10orf88
		TMBIM4
		CACNA1D
		SAP30L
		SORCS1
		BTBD3
		EPHA3
		EPB41
		MED4
		SS18
		COTL1
		EBAG9
		MARCKS
		HSPE1-MOB4
		SHISA6
		ANKRD20A2
		ARHGAP18
		LY75-CD302
		MAOB
		HDX
		POMP
		NAP1L3
		EAPP
		TIMM9
		MAPK6
		GPR183
		ID4
		EPB41L2
		RAP1B
		ZNF571
		DGKI
		AKAP1
		MMP21
		EIF5
		OOSP2
		FGF7
		HNRNPF
		RREB1
		LRCH2
		STIL
		LIFR
		CBL
		AXIN2
		GOLGA8H
		SRSF10
		MAGI2
		INSYN2
		TRAPPC8
		ARRDC3
		DCUN1D4
		FGA
		NECTIN3
		SLC1A1
		AP5B1
		ZNF302
		ENY2
		FOS
		DENND3
		SYS1
		SLC18A2
		NEMF
		GRM5
		FGF2
		CXCL12
		MSX1
		SPIRE1
		SACM1L
		KHDRBS3
		NR5A2
		NECAB1
		ERO1A
		PURG
		SF3B1
		CALCRL
		RBM47
		PIP4P2
		GTF3C4
		SCARB2
		SLC20A2
		CRBN
		APLP2
		MSI2
		SPARCL1
		FOXF1
		PPM1L
		CDKN2AIP
		TRIM44
		TOGARAM1
		TRIM71
		SCAMP1
		TSEN34
		AP3S1
		DST
		DR1
		LNX2
		CEBPA
		MGAT4A
		FBXW11
		TMEM201
		MTMR2
		DKK1
		MTCL1
		KCNH5
		GOLGA6C
		OTOGL
		ZFAND3
		RHBDL2
		DPP8
		FAM84A
		ANKRD12
		NSMCE3
		CEP41
		ATF6
		YLPM1
		ZC3H11A
		ACVR2B
		RAVER2
		SOCS2
		BRWD3
		PPP2R2D
		FAM83D
		TTN
		WWTR1
		PPP1R16B
		SLC45A3
		SLC35A3
		ZNF607
		PPFIA1
		NOG
		MORN4
		HSPA1B
		ZNF431
		HEY2
		HDHD5
		GPD2
		RBM8A
		CDV3
		QSER1
		PLPP5
		NRCAM
		CSRP2
		CANX
		CAB39L
		DDX58
		NPTX1
		UGP2
		FAM217B
		MTRF1
		RNF125
		CLDN8
		STAC
		CXXC4
		PCSK5
		CCDC85A
		PGBD2
		CAMKK2
		FZD6
		TXNRD3
		ANKRD27
		CDC42SE2
		PPP1R3C
		ELP1
		PTP4A1
		BMPR1B
		SMARCA2
		RBM27
		ZNF714
		PIGW
		YIPF5
		DTWD1
		KITLG
		SV2C
		ELL2
		PPP2R5E
		SAA2
		ALDOB
		SPAG7
		PPFIA4
		HNRNPH2
		IGIP
		PRICKLE1
		ETNK1
		DCTN2
		L1TD1
		LARP4B
		RFX7
		CSRNP2
		ST7
		SUPT7L
		TFPI2
		LHX2
		KDM3A
		ONECUT2
		ADAMTSL3
		CRISPLD2
		FBXO32
		ZNF557
		RBM43
		UBE2D2
		DGCR2
		SLC22A10
		CASK
		NUDCD1
		FGD6
		NDFIP1
		GOLGA4
		PTPN13
		SNAP91
		TMF1
		SFRP1
		SUCLA2
		CDH5
		CYP24A1
		C17orf51
		MAD2L2
		B3GAT3
		ZNF678
		FMN2
		C9orf47
		IL7
		BEX5
		PAK2
		ATP2B1
		ST18
		HAPLN1
		PUM1
		CCDC88A
		SGPP1
		PMS2
		GOLGA8B
		TOP1
		ZNHIT6
		ZNF638
		RXRB
hsa-miR-758-3p.txt	376	HAUS2
		GCSH
		FYB2
		TSPY1
		IGF1
		MSL1
		STK32C
		DCLK3
		MIER1
		NDUFAF4
		SMIM9
		FAHD1
		PAPSS2
		MTRR
		GLE1
		ZNF257
		SLC6A15
		CCDC43
		RWDD4
		CHFR
		TVP23A
		MTMR14
		TMEM59
		CDC42BPA
		RTL3
		RAD18
		SLAMF1
		NUDT12
		DAPP1
		CD53
		SLC10A4
		STK40
		DNHD1
		ZNF432
		NRG4
		PERP
		MTR
		TAB1
		SYTL5
		VMP1
		OAS1
		NTM
		TTC3
		C1orf198
		PAWR
		YPEL5
		RBM26
		COL5A2
		FAM161A
		ZNF177
		IL13RA1
		PTGS2
		BMP7
		USH2A
		PPID
		FSHR
		GAD2
		C1GALT1
		ZNF468
		RUNX1T1
		NOTCH2
		SLC9A2
		SULF2
		SMCHD1
		ACLY
		FLI1
		DMXL1
		MEGF11
		GRM1
		PLPP2
		ZNF677
		PCBD2
		PDZD7
		MME
		TUFM
		PCDHB13
		ZNF18
		SPDYA
		PIGK
		MCAT
		ZFP1
		ZDBF2
		TEX51
		NAA40
		PPP1R17
		CNKSR2
		ZNF611
		MKKS
		ADGRF2
		SLC25A24
		GPBP1
		PDE7B
		LOC389602
		HSD17B13
		GRAMD1C
		SPEG
		EI24
		CRADD
		PARVG
		IGHMBP2
		ZNF664
		PARP15
		PRKN
		NUCKS1
		GDPD4
		GAREM1
		ZNF385C
		PUM2
		PARP12
		NAMPT
		SLC30A8
		NHLRC2
		TSPY2
		APOPT1
		MDM2
		LVRN
		DEFB134
		BIVM
		ZNF808
		sept-03
		GCSAML
		TLR7
		POLDIP2
		VPS37A
		AGL
		STAT5B
		HMG20A
		COPG2
		RPRD1A
		FAM47E-STBD1
		CPEB4
		TRNT1
		RAI2
		CALCR
		MTDH
		MCMDC2
		SPATA31C1
		C3orf79
		PDE10A
		RHOQ
		RIOX1
		ZNF99
		INTS2
		LOC284898
		SEC62
		TNNI1
		ZNF559-ZNF177
		ZNF106
		ERO1B
		BCL7B
		ENTPD1
		ACAP2
		UNC5D
		GABRG2
		BNIP3L
		CFAP97
		FAM210B
		STXBP1
		MRPL58
		CFDP1
		MIA3
		BMX
		RBM15B
		COLGALT1
		LARP4
		ZNF814
		RNF114
		PLP1
		MLLT11
		SUCNR1
		COMMD9
		PYCR2
		B4GALT5
		MACROD2
		PARP9
		MCPH1
		CRYBG1
		ERCC6L2
		LNX1
		SYT4
		ZNF503
		TRIM5
		ENPP3
		SMIM13
		PPP1R7
		THAP9
		MEF2C
		MOB3B
		PGK1
		XRCC2
		C3orf14
		TSPAN11
		CNTD2
		WWC2
		SPATA31C2
		KANSL2
		RBFOX3
		TUBGCP3
		CA13
		TIA1
		TFDP2
		KCNE1
		RAD51B
		FPR3
		IRF2BP2
		FLVCR1
		RAB3C
		B3GNT9
		FBXO22
		ASB8
		ANKRD10
		MEPE
		PLP2
		DPP4
		SPATA17
		GGA3
		HRH4
		DNAJA4
		MFAP3
		HBEGF
		SLC25A16
		COMMD2
		FAM86B1
		MYH9
		OTULINL
		NOP2
		USP10
		SMLR1
		SWT1
		CPSF7
		NDUFAF6
		SIPA1L2
		SCD5
		ADGRL2
		MTMR8
		RNF113B
		FBRSL1
		PPP2R1B
		JAG1
		IRF6
		RNF144A
		SLC7A14
		VPS41
		ALDH1A2
		SHCBP1L
		RNF103
		AHCY
		STON2
		EXOSC9
		SMIM8
		SRP68
		ILK
		VPS39
		VAPB
		STOM
		ANKRD46
		ANK2
		ITGB6
		ANO2
		BEST1
		PRKAR1A
		RAD52
		LIN7A
		MBD4
		ZNF578
		CYP7B1
		FBXO17
		FAM168B
		MYO5A
		CNNM4
		PPP2R2C
		LRFN2
		UBXN2B
		CCDC40
		FAM86C1
		EPC1
		SUN2
		TSPY3
		TYRO3
		ARRDC4
		PUS7L
		SLC6A14
		MR1
		DIS3
		ZNF813
		MSANTD3-TMEFF1
		MOGAT2
		CLASP2
		NFAM1
		ZNF761
		PSME4
		FAAP20
		ZBTB37
		PRKAR2B
		TSPOAP1
		ZNF701
		INSIG2
		TBX4
		ZDHHC15
		LRRTM4
		MRPL3
		ACAD9
		EPN3
		RASGRP1
		NLN
		SORBS1
		ETFDH
		SPTLC2
		PIK3CA
		LEPROTL1
		PLCL1
		ZNF226
		RAB29
		CA10
		CST6
		IAH1
		ABAT
		PAQR5
		TRIM38
		SRPRB
		GTDC1
		USB1
		NOL6
		STEAP2
		SCRN3
		ST6GAL2
		CDC73
		CAMK1D
		CEACAM7
		TMPPE
		CCDC144NL
		WTAP
		TSPY10
		ERCC6
		TKTL2
		CLVS1
		C18orf25
		DOCK5
		FAM122C
		TDRP
		CTBP2
		SLC38A1
		ARHGAP6
		MYCBP
		HNRNPA3
		TSPY8
		TOR1AIP2
		MCM6
		TMEFF1
		TAPT1
		ZNF28
		CARF
		HEPACAM2
		LGALS8
		ZNF250
		WNT5B
		IFT20
		DNAJC24
		RELN
		HMGA1
		JUN
		NRG1
		LOC339862
		RASA3
		APPL1
		GORASP1
		SCML4
		TSPY4
		ZNF600
		PGPEP1
		MARCH1
		SCN5A
		SCN9A
		PDE12
		EXOC6
		CTSC
