Names	total	elements
		 M E D 6  
		 T R O A P  
		 L H X 9  
		 X R N 1  
		 R U N X 3  
		 S L C 3 6 A 1  
		 P T P D C 1  
		 B M P 2  
		 W D R 3 7  
		 A R M C 8  
		 S D C 2  
		 D C U N 1 D 3  
		 M O S P D 2  
		 G P R 1 3 3  
		 R A P G E F 4  
		 O C R L  
		 N T N G 1  
		 T R P V 6  
		 N H S  
		 A C V R L 1  
		 U B E 2 B  
		 B A H D 1  
		 P T P N 3  
		 R A B 1 0  
		 E N T P D 4  
		 L H X 4  
		 A N K R D 1 3 C  
		 S M T N L 2  
		 M K N K 2  
		 K I A A 1 1 4 7  
		 P P A R A  
		 R B 1  
		 E 2 F 5  
		 C C L 1  
		 K P N A 5  
		 L L P H  
		 F B X L 5  
		 C D H 1 9  
		 I G S F 1 0  
		 S P R Y 4  
		 L R P 1 2  
		 M Y L I P  
		 P T P R D  
		 T H R A  
		 C A L D 1  
		 T M E M 1 2 3  
		 D N A J C 2 7  
		 I L 1 7 R D  
		 K C N B 1  
		 C R A M P 1 L  
		 H T R 2 A  
		 P A F A H 2  
		 S C M L 2  
		 R A S G R F 2  
		 M I D 1  
		 F B X O 3 9  
		 C T D S P L  
		 R B M S 1  
		 M A P 3 K 1 2  
		 P D E 1 B  
		 A T O H 1  
		 G B F 1  
		 S M I M 1 4  
		 O S M  
		 Z N F 2 5  
		 U B E 3 C  
		 F O X B 1  
		 Y P E L 4  
		 P I K F Y V E  
		 T M X 3  
		 N D E L 1  
		 B M P 2 K  
		 C C N J  
		 A D R A 1 B  
		 P G M 2 L 1  
		 P L C B 1  
		 Y E S 1  
		 M A P K 4  
		 A N O 6  
		 I T P R I P L 2  
		 S L C 2 2 A 2 3  
		 N B E A L 2  
		 B T G 1  
		 S E R T A D 2  
		 R S B N 1  
		 F O X L 2  
		 R A C G A P 1  
		 T M E M 2 3 1  
		 Z F P 3  
		 B N I P 2  
		 M A S T 3  
		 G P L D 1  
		 P K N 2  
		 K I A A 0 5 1 3  
		 M A L S U 1  
		 N I N  
		 N T N 4  
		 P I K 3 R 1  
		 Z N F 2 8 0 B  
		 C Y B 5 6 1 D 1  
		 A T G 2 A  
		 S U C O  
		 S H 2 D 5  
		 A T P 1 A 2  
		 M I E R 2  
		 C D H 2 4  
		 N C K A P 5  
		 M S L 1  
		 G M P R  
		 P L A G L 2  
		 T B C 1 D 9  
		 H D A C 4  
		 C D C A 3  
		 T I M M 1 7 A  
		 M A P 3 K 1 1  
		 P O N 2  
		 P A R P 6  
		 B T B D 7  
		 S I N 3 B  
		 F Y C O 1  
		 S V 2 B  
		 K L H L 3 6  
		 M B D 2  
		 B E C N 1  
		 B 3 G A L T 2  
		 S C R T 2  
		 I R F 9  
		 R E S T  
		 Z X D A  
		 C O R O 2 B  
		 T M E M 2 5  
		 T A O K 3  
		 M M P 2 4  
		 L R I G 1  
		 C M P K 1  
		 A F F 1  
		 F A M 3 C  
		 A L G 3  
		 R P S 6 K A 2  
		 U X S 1  
		 K A T 2 B  
		 U B E 2 J 1  
		 M X I 1  
		 A D A R  
		 S L C 2 4 A 2  
		 K D M 2 A  
		 R B L 2  
		 T M E M 5 0 B  
		 L A M A 3  
		 P L S C R 4  
		 R G S 9 B P  
		 P S E N 1  
		 K C N M B 3  
		 T R I O B P  
		 N B E A  
		 K M T 2 A  
		 I N T S 6  
		 I P C E F 1  
		 B T G 3  
		 P T G D R  
		 I T P K B  
		 D A B 1  
		 C B X 8  
		 E P A S 1  
		 H S 3 S T 3 A 1  
		 G N B 5  
		 E X P H 5  
		 E I F 2 S 1  
		 T I M M 8 B  
		 E 2 F 2  
		 R G S 4  
		 S L C 2 5 A 2 7  
		 C 7 o r f 4 1  
		 Z B T B 4  
		 I S M 1  
		 K L H L 8  
		 P F K F B 3  
		 O R A I 1  
		 K I A A 1 5 2 2  
		 P X K  
		 I N O 8 0  
		 E R B B 3  
		 H O X B 1 3  
		 F A M 1 1 7 A  
		 S N X 2 1  
		 D I R C 2  
		 A T G 2 B  
		 A N K R D 2 9  
		 A M E R 2  
		 T R I M 3 2  
		 R U F Y 2  
		 G P R 1 3 7 B  
		 D O C K 4  
		 H S 3 S T 5  
		 M A R K 4  
		 R N F 2 1 7  
		 E X T 1  
		 Z B T B 4 3  
		 P A K 3  
		 K C N K 1 0  
		 C A P R I N 1  
		 F R M D 6  
		 U B E 2 Q L 1  
		 R A B 2 2 A  
		 T S G 1 0 1  
		 K L H L 2  
		 C O L 1 9 A 1  
		 Z N F 7 0  
		 F A M 4 5 A  
		 C H D 5  
		 H O O K 3  
		 C M T M 4  
		 R B B P 7  
		 M B D 5  
		 T M E M 2 0 0 C  
		 N K X 2 - 2  
		 P O F U T 1  
		 S T R I P 2  
		 C L I P 4  
		 N H L H 1  
		 F A M 1 6 0 B 2  
		 S N X 1 6  
		 S L C 3 0 A 1  
		 M F N 2  
		 P L E K H M 1  
		 U 2 S U R P  
		 S A C S  
		 M M P 2  
		 F G D 4  
		 C E N P Q  
		 F A F 2  
		 S K I D A 1  
		 S L C 1 7 A 7  
		 T M E M 6 4  
		 T M E M 1 2 7  
		 P E X 5 L  
		 S E S N 2  
		 P H L P P 2  
		 P H C 3  
		 P P P 6 R 1  
		 C L O C K  
		 S L C 2 5 A 5 1  
		 X R R A 1  
		 D P P 3  
		 C X C L 1 4  
		 P D C D 1 L G 2  
		 K C N R G  
		 P K D 1  
		 F N B P 1 L  
		 C D C 4 0  
		 N P L O C 4  
		 R A S S F 2  
		 P R D M 1 0  
		 S P 9  
		 B C R  
		 P P P 1 R 2 1  
		 S F X N 5  
		 R I M K L A  
		 M C L 1  
		 N C E H 1  
		 G M C L 1  
		 A S F 1 A  
		 Z C 3 H 7 B  
		 F A M 1 3 4 C  
		 S O R L 1  
		 L I T A F  
		 A D A M T S L 2  
		 A H R R  
		 P G B D 5  
		 T R I M 3 6  
		 D U S P 2  
		 P I P 4 K 2 A  
		 H E C A  
		 H O X D 1 1  
		 M L L T 1  
		 M A K 1 6  
		 M E D 1 7  
		 P D G F B  
		 G P R 1 5 7  
		 B T G 2  
		 E G R 2  
		 M G E A 5  
		 Z F Y V E 2 6  
		 B T B D 1 0  
		 S M A D 6  
		 C D K N 1 A  
		 O S R 1  
		 B 4 G A L T 6  
		 D I P 2 A  
		 L A P T M 4 A  
		 F A M 1 0 2 A  
		 S I R T 7  
		 S F M B T 1  
		 C Y P 2 6 B 1  
		 C O X 2 0  
		 S O W A H C  
		 K L F 1 1  
		 C 1 0 o r f 1 0 7  
		 T I A M 1  
		 P O L Q  
		 A C E R 2  
		 T B C 1 D 1 7  
		 Z N F 2 1 7  
		 A R H G E F 1 0  
		 P C Y T 1 B  
		 P L S 1  
		 U C P 3  
		 Z B T B 8 A  
		 R N F 1 4 5  
		 R N F 1 3  
		 G I N S 1  
		 A R S J  
		 D P F 3  
		 W I P F 2  
		 S T K 1 7 B  
		 L I F  
		 R A B 1 2  
		 U B C  
		 C 1 4 o r f 2 8  
		 H M B O X 1  
		 S N X 8  
		 F O X A 1  
		 C A B L E S 1  
		 C 1 1 o r f 8 2  
		 F A M 1 9 A 1  
		 F B X O 4 8  
		 P R R G 1  
		 T R I M 3 7  
		 T M T C 1  
		 S M O C 1  
		 G N S  
		 T N K S 1 B P 1  
		 R A B 2 1  
		 F G F 4  
		 C R T C 3  
		 A T E 1  
		 W F S 1  
		 S Y T L 4  
		 U S P 3 7  
		 C S G A L N A C T 1  
		 A N K H  
		 P R D M 6  
		 C 3 o r f 3 8  
		 Z D H H C 9  
		 R P S 6 K A 4  
		 T L E 4  
		 R S R C 2  
		 G O L G A 1  
		 U R I 1  
		 L H X 8  
		 M A P 3 K 5  
		 T C E B 3  
		 A D A M 9  
		 E I F 4 H  
		 S R C I N 1  
		 E P H B 4  
		 E I F 4 E  
		 M L L T 6  
		 F A M 1 2 9 B  
		 N E D D 4 L  
		 P O U 6 F 2  
		 C O X 7 A 2 L  
		 A C T R 1 A  
		 M A G O H B  
		 F A M 1 3 1 B  
		 A R H G A P 3 5  
		 S R S F 1 2  
		 N P A S 2  
		 C C N D 1  
		 A T G 1 4  
		 K I F 3 B  
		 Z D H H C 8  
		 C C N D 2  
		 M 6 P R  
		 S T 8 S I A 2  
		 S H O C 2  
		 C S F 1  
		 M C M 3  
		 C 7 o r f 6 0  
		 T P P P  
		 S E M A 4 G  
		 F R M D 4 B  
		 S O X 4  
		 A C P L 2  
		 A B C G 4  
		 B I D  
		 T R I M 6 6  
		 C I T  
		 S E N P 5  
		 T P R G 1 L  
		 X K R 4  
		 S C D 5  
		 C X o r f 5 6  
		 A N K R D 9  
		 P R R 1 5  
		 W A S F 3  
		 S U M F 1  
		 C O X 8 C  
		 O X R 1  
		 F A M 1 6 0 B 1  
		 V E G F A  
		 N A G K  
		 P P P 6 R 2  
		 R P S 6 K A 1  
		 K I A A 0 2 4 7  
		 M I N O S 1 - N B L 1  
		 F X R 1  
		 C E L S R 2  
		 P P P 1 R 3 B  
		 T B L 1 X  
		 B C L 2 L 2  
		 F E M 1 C  
		 R A P H 1  
		 N E U R O D 2  
		 S L C 1 1 A 1  
		 G P C 6  
		 I L 1 R A P L 1  
		 T B X 3  
		 T G F B R A P 1  
		 Z N F 7 0 3  
		 P O L R 3 G  
		 T C T E X 1 D 1  
		 M C C  
		 C D 6 9  
		 R N F 6  
		 T R I M 3  
		 U B X N 2 A  
		 M F N 1  
		 F I B I N  
		 U S P 5 3  
		 U B E 2 Q 2  
		 P S D  
		 A R H G A P 1 2  
		 B V E S  
		 C I C  
		 P H I P  
		 L A S P 1  
		 T P 7 3  
		 M F S D 9  
		 R A S A 2  
		 K L H L 2 0  
		 G X Y L T 1  
		 S L C 2 A 8  
		 L Y S T  
		 S L C 1 6 A 1 2  
		 U S P 3  
		 K I F 2 6 B  
		 W W C 2  
		 T O P O R S  
		 L A M T O R 1  
		 B M P R 2  
		 F Z D 3  
		 F S T L 4  
		 D S G 4  
		 P L X N A 1  
		 M Y C L  
		 F B X O 3 1  
		 A C V R 1 B  
		 K M T 2 C  
		 A G O 1  
		 K I A A 1 4 6 2  
		 M E X 3 D  
		 W H S C 1  
		 G P D 2  
		 T H B S 2  
		 L A C E 1  
		 B N I P 3 L  
		 M I C A L 3  
		 C R I M 1  
		 T H R B  
		 L A M P 1  
		 K A T N A L 1  
		 U S P 2 4  
		 R A B 5 B  
		 E R O 1 L B  
		 R A B 1 1 F I P 5  
		 A R L 5 A  
		 F U R I N  
		 N A P E P L D  
		 V A S P  
		 L D L R  
		 S A L L 3  
		 R P P 1 4  
		 T M E M 1 6 7 A  
		 M A P R E 1  
		 C N O T 7  
		 F O X Q 1  
		 T A D A 2 B  
		 P U R G  
		 L Y P D 6  
		 F A M 2 1 0 A  
		 C D 2 2 6  
		 N R S N 1  
		 L R R C 2 0  
		 G R I N 2 B  
		 S L C 4 8 A 1  
		 D N A J B 9  
		 R O R C  
		 S T K 1 1 I P  
		 T A C C 1  
		 V T I 1 A  
		 E G L N 3  
		 N F A T 5  
		 A T P 1 1 A  
		 S L C 3 5 F 3  
		 S L C 2 9 A 2  
		 R A P G E F 1  
		 K M T 2 B  
		 C E P 5 7  
		 R A B 1 1 F I P 4  
		 N A B P 1  
		 Z B T B 4 4  
		 I L 8  
		 Z B T B 1 4  
		 F I T M 2  
		 H E C T D 2  
		 G L I S 3  
		 T M E M 1 6 8  
		 P I G H  
		 I G F 2 B P 1  
		 C E P 1 2 0  
		 S P 8  
		 K I A A 0 9 2 2  
		 F A M 1 2 9 A  
		 P A R D 6 B  
		 A J U B A  
		 T B C 1 D 2  
		 T N F A I P 1  
		 L D L R A D 3  
		 P O C 1 B - G A L N T 4  
		 T R A P P C 1 0  
		 E L O V L 6  
		 J A Z F 1  
		 R H O  
		 M A T 2 B  
		 W N T 9 B  
		 S U V 4 2 0 H 1  
		 C M K L R 1  
		 N R I P 3  
		 D E D D  
		 M K R N 1  
		 K I A A 1 6 7 1  
		 T B C 1 D 1 0 C  
		 F J X 1  
		 K I F 2 3  
		 L I M A 1  
		 A T O H 8  
		 P C M T D 1  
		 R A S G E F 1 A  
		 V S X 1  
		 A R H G A P 3 1  
		 G I T 2  
		 P O U 6 F 1  
		 P R R G 4  
		 S L K  
		 S L C 2 5 A 4 4  
		 F 3  
		 N B L 1  
		 P A N X 2  
		 S R P K 2  
		 D N M 2  
		 A R H G A P 1  
		 C H S T 7  
		 C E R S 6  
		 B R W D 1  
		 F A T 2  
		 F A I M 2  
		 G D F 1 1  
		 S M O C 2  
		 S E M A 4 B  
		 M I N K 1  
		 A E N  
		 L P G A T 1  
		 C Y P 2 U 1  
		 L R C H 1  
		 S S H 1  
		 S T X 6  
		 P P P 1 R 3 G  
		 F A M 1 1 7 B  
		 M B T P S 1  
		 H C N 4  
		 L R P 8  
		 C A N T 1  
		 U B E 2 W  
		 S L C 1 A 2  
		 D R D 1  
		 C 3 o r f 7 0  
		 S T A R D 4  
		 T R I P 1 0  
		 R A D 2 3 B  
		 P R R 1 2  
		 M Y O 1 D  
		 L R R C 5 5  
		 S H 3 B P 5  
		 M A R C H 8  
		 G C N T 4  
		 P C N P  
		 T R I M 8  
		 T M U B 2  
		 L I M K 1  
		 M E C P 2  
		 D A B 2  
		 L R R C 4 0  
		 O P C M L  
		 L U Z P 1  
		 R H O C  
		 C 1 6 o r f 7 2  
		 S Y N E 2  
		 R R M 2  
		 S L C 3 3 A 1  
		 S L I T R K 2  
		 T A G A P  
		 A H N A K  
		 U N K L  
		 T X L N A  
		 A B H D 5  
		 U R G C P  
		 K R T 8 1  
		 F R K  
		 S N T G 1  
		 N E U R O G 3  
		 C C D C 2 5  
		 P E A K 1  
		 D N A J B 6  
		 A T A D 2  
		 F B X O 2 8  
		 N U B P 1  
		 N R B P 1  
		 U E V L D  
		 Z N F 3 8 5 A  
		 S U L F 1  
		 U B A S H 3 A  
		 F E M 1 B  
		 F I C D  
		 G N A 1 1  
		 W D R 8 2  
		 A T G 7  
		 G A R E M  
		 A R H G E F 1 1  
		 V P S 2 6 A  
		 O S T M 1  
		 K L H L 2 8  
TargetScan8.0__miR-144-3p.txt	678	 

		 N F E 2 L 2  
		 G L I 2  
		 B C L 9 L  
		 T M E M 1 6 3  
		 C O X 7 C  
		 R I N 2  
		 S L C 1 2 A 2  
		 U B E 2 D 2  
		 C A S K  
		 L M T K 2  
		 Z N F 2 9 2  
		 V E Z T  
		 K I N  
		 C S R N P 2  
		 T G F A  
		 R G S 1 6  
		 R H P N 2  
		 C A C N B 2  
		 N E K 7  
		 J H D M 1 D  
		 P M A I P 1  
		 O S B P L 1 A  
		 T B C 1 D 1 4  
		 S L C 2 5 A 2 1  
		 E B F 2  
		 N Y A P 2  
		 F A M 1 9 3 B  
		 P B R M 1  
		 Z N F 4 6 9  
		 L R R C 1  
		 T F A P 4  
		 Z N F 6 5 4  
		 A T P 2 C 1  
		 M T M R 1 2  
		 K P N A 1  
		 I C K  
		 S E M A 6 D  
		 B M P R 1 A  
		 U S P 3 8  
		 E F N A 5  
		 S N A P 9 1  
		 A M M E C R 1  
		 K D M 3 A  
		 Y L P M 1  
		 S S 1 8  
		 I T P R I P L 1  
		 I G F 2 R  
		 P P F I A 4  
		 G E T 4  
		 A R F G E F 1  
		 P G G T 1 B  
		 P T P N 5  
		 A T P 5 G 2  
		 P L E K H G 3  
		 E P B 4 1  
		 J A K M I P 2  
		 F G F 7  
		 S Y N R G  
		 G R M 5  
		 I T G A 6  
		 S O R C S 3  
		 M A P 7 D 1  
		 Z N R F 2  
		 N L N  
		 G N A I 3  
		 U B R 3  
		 C 8 o r f 4 4 - S G K 3  
		 E I F 5  
		 F B X W 7  
		 M Y T 1  
		 M O R N 4  
		 C N N 3  
		 S H H  
		 C A M K 2 D  
		ÿþu  
		 P G R M C 2  
		 P I K 3 C B  
		 G P R 1 8 3  
		 D C A F 7  
		 I P O 8  
		 J A K M I P 3  
		 C P N E 2  
		 G P R 1 7 4  
		 K I F 3 A  
		 K C N M B 2  
		 D R 1  
		 P S K H 1  
		 A G R N  
		 C D C 7 3  
		 C Y P 2 7 C 1  
		 N U P 6 2 C L  
		 C I T E D 2  
		 G N A 1 3  
		 J P H 1  
		 Z N F 6 3 8  
		 E C E 1  
		 R P A 1  
		 S L C 3 5 A 3  
		 F U B P 3  
		 K I T L G  
		 I M P A C T  
		 G T F 2 A 1  
		 T N S 3  
		 O G F R L 1  
		 B R C C 3  
		 P P P 2 R 5 E  
		 N R K  
		 Z C C H C 2  
		 R S P O 2  
		 C A V 3  
		 E L L 2  
		 D L C 1  
		 F O S B  
		 D A Z 3  
		 A T P 2 B 1  
		 Z B T B 3 4  
		 R A P 1 A  
		 A E B P 2  
		 T N C  
		 S P A T A 2  
		 F A M 7 3 A  
		 U G G T 1  
		 P T G S 2  
		 E D A  
		 L P H N 2  
		 S M A R C A 4  
		 K C N J 8  
		 A D A M T S L 3  
		 C G G B P 1  
		 G A T S L 2  
		 S C A M P 1  
		 M S I 1  
		 M R G B P  
		 I T P R 1  
		 S G K 3  
		 M Y B  
		 C O L 5 A 2  
		 F G F R 1 O P  
		 R R E B 1  
		 C 1 9 o r f 8 1  
		 I M P A 1  
		 A L S 2  
		 M Y O 1 E  
		 Z D H H C 1 7  
		 M B N L 1  
		 M E D 1 4  
		 S O X 6  
		 H M G N 2  
		 G S P T 1  
		 C O P S 2  
		 M A T N 2  
		 M A G I 2  
		 M A R C K S  
		 P N R C 1  
		 E R O 1 L  
		 P T P N 9  
		 X K R 6  
		 S H 3 G L B 1  
		 M A R C H 7  
		 F O X O 1  
		 J D P 2  
		 M A F K  
		 S L C 8 A 1  
		 P D S 5 B  
		 S E M A 6 A  
		 C R T C 1  
		 H N R N P A B  
		 N S D 1  
		 G B E 1  
		 G R S F 1  
		 N R 3 C 1  
		 P T P 4 A 1  
		 R C N 2  
		 A T R X  
		 Z N F 3 6 6  
		 M G R N 1  
		 T S P A N 6  
		 K P N A 6  
		 S T A C  
		 E M P 1  
		 C D C 4 2 E P 3  
		 Y W H A G  
		 J A K 2  
		 R C 3 H 1  
		 A R N T L 2  
		 C U L 4 B  
		 L G R 4  
		 I T G A 8  
		 P P F I A 1  
		 R A B 4 A  
		 M G A T 4 A  
		 R A D 5 4 L 2  
		 S I M 1  
		 R A P 1 B  
		 Z B T B 7 C  
		 N C S 1  
		 P A L M 2  
		 T B C 1 D 1 9  
		 S I N 3 A  
		 F L R T 3  
		 R N P C 3  
		 H A P L N 1  
		 T E C T A  
		 D N A J C 6  
		 L R R T M 2  
		 S U C L A 2  
		 N R 6 A 1  
		 S L C 1 A 1  
		 T O X  
		 U C K 2  
		 P P P 2 R 2 D  
		 L S A M P  
		 P H A C T R 2  
		 E L F N 2  
		 C A M S A P 2  
		 E L P 4  
		 F B N 2  
		 F A M 2 2 2 A  
		 R A S D 2  
		 M E F 2 D  
		 C C D C 8 8 A  
		 H E L Z  
		 N U D T 1 1  
		 F O X N 4  
		 E L F 5  
		 A R R D C 3  
		 B E G A I N  
		 S L C 6 A 1 7  
		 P A P P A  
		 Z N F 4 6 2  
		 T B X 1 8  
		 Z C 2 H C 1 A  
		 S K I L  
		 T E K  
		 C Y P 2 4 A 1  
		 D R P 2  
		 M Y B L 1  
		 E T S 1  
		 E P N 2  
		 N R 1 D 2  
		 H 2 A F V  
		 T R D M T 1  
		 B R P F 3  
		 K L F 6  
		 C O L 8 A 1  
		 K H D R B S 2  
		 C N O T 1  
		 E L N  
		 T M E M 2 5 7  
		 R A L G P S 2  
		 Z N F 7 4 6  
		 G A L N T 1  
		 C A C N A 2 D 1  
		 S E N P 7  
		 D C T N 2  
		 M O R C 3  
		 R A L B P 1  
		 V P S 3 5  
		 P P P 1 C C  
		 F K B P 7  
		 P D E 4 A  
		 M B T D 1  
		 C L M P  
		 C C R N 4 L  
		 G P R I N 3  
		 E D A R  
		 C B X 4  
		 T B X 1  
		 Q S E R 1  
		 M Y H 1 0  
		 M A R K 1  
		 P L X N C 1  
		 G A B R A 1  
		 A N K R D 1 1  
		 M R P S 1 4  
		 M L L T 4  
		 T G I F 1  
		 H G F  
		 A T P 1 B 2  
		 S A P 3 0 L  
		 L R R N 1  
		 S N N  
		 Z N F 7 7 7  
		 A S A P 1  
		 C 1 0 o r f 1 1 8  
		 M B N L 2  
		 F G D 6  
		 C B F A 2 T 2  
		 R P P 4 0  
		 I R S 1  
		 P A B P N 1  
		 K I F 1 4  
		 P E X 7  
		 R A B 1 A  
		 K I F 2 A  
		 P C S K 5  
		 S T I L  
		 N K R F  
		 A C V R 2 B  
		 C X X C 4  
		 G L G 1  
		 A L 1 6 2 4 0 7 . 1  
		 N D R G 4  
		 U B R 1  
		 S L C 2 0 A 2  
		 H A T 1  
		 D V L 1  
		 F O S  
		 M I T F  
		 L A N C L 3  
		 U S P 9 X  
		 A P C  
		 C X o r f 2 3  
		 S T A M  
		 T M E M 1 8 9  
		 M Y E F 2  
		 A L D H 1 A 3  
		 S T 5  
		 B M P R 1 B  
		 F M R 1  
		 P R K C E  
		 S U M O 3  
		 E M P 2  
		 G M E B 2  
		 T P D 5 2  
		 C A V 2  
		 T M E M 1 6 1 B  
		 C D S 2  
		 Z N F 5 7 4  
		 M T X 3  
		 D I P 2 B  
		 K C T D 1 0  
		 S T O X 2  
		 P O U 3 F 1  
		 R A B 2 A  
		 C P E B 1  
		 T M F 1  
		 R B M 2 5  
		 R A P 2 B  
		 A C 0 6 8 9 8 7 . 1  
		 T C F L 5  
		 S T X 7  
		 P H L D A 1  
		 S I X 4  
		 N E T 1  
		 U B E 2 V 1  
		 C C N K  
		 Z N R F 3  
		 T E N M 3  
		 L I M C H 1  
		 U B E 2 D 1  
		 C O L 1 1 A 1  
		 Z E B 1  
		 G C L C  
		 G N A L  
		 L S M 1 4 A  
		 F A M 7 6 B  
		 P A X 3  
		 P A B P C 1 L 2 B  
		 T N P O 1  
		 T I M M 8 A  
		 T N R C 1 8  
		 N H L R C 2  
		 K A T 6 A  
		 D N A J C 2  
		 P R I C K L E 1  
		 N R 5 A 2  
		 A B H D 1 7 B  
		 S T M N 1  
		 B E N D 3  
		 T O P 2 A  
		 M O B 4  
		 R N F 1 2 5  
		 E Z H 2  
		 C 2 0 o r f 1 9 4  
		 H S P E 1 - M O B 4  
		 K H D R B S 3  
		 G A T A 3  
		 K L H L 2 3  
		 K S R 1  
		 P P P 4 R 1  
		 S T A T 6  
		 Z N F 5 0 7  
		 C A P Z A 1  
		 D C L R E 1 C  
		 Z C 3 H 1 2 A  
		 S E L 1 L  
		 D T N A  
		 D O K 4  
		 A R I D 1 A  
		 T M E M 5 5 A  
		 E P S 8  
		 S L C 4 5 A 3  
		 P R O X 1  
		 Z C 3 H 1 1 A  
		 V P S 4 B  
		 R A L G P S 1  
		 H S 3 S T 3 B 1  
		 L S M 1 4 B  
		 L I F R  
		 R B M 1 2  
		 A N K S 1 A  
		 T H O C 2  
		 A G F G 1  
		 M E F 2 A  
		 F R Y L  
		 F L R T 2  
		 S O N  
		 D A Z 4  
		 E 2 F 8  
		 R X R B  
		 P D C D 4  
		 B R P F 1  
		 C C N E 2  
		 S T A R D 8  
		 U B E 2 F  
		 S Y N G A P 1  
		 G P M 6 B  
		 S P I R E 1  
		 K R T 2 2 2  
		 A G P A T 3  
		 T N I K  
		 T M T C 3  
		 K C M F 1  
		 A T F 7 I P  
		 P M M 2  
		 P A G 1  
		 S E T D 5  
		 M T P N  
		 B E T 1  
		 K C N C 4  
		 M A P 1 B  
		 C 1 0 o r f 1 2  
		 A N O 1  
		 F G F 1 6  
		 N G F R A P 1  
		 C D H 8  
		 R A B 5 A  
		 Z F X  
		 S L C 2 3 A 2  
		 T T N  
		 T J P 1  
		 P L E K H G 1  
		 S G M S 2  
		 P H F 2 0 L 1  
		 N I D 2  
		 P S D 2  
		 I G I P  
		 T S P A N 3  
		 T H B S 1  
		 N L K  
		 P A N K 1  
		 Z D H H C 2 1  
		 Z B T B 5  
		 N E D D 4  
		 Z C 3 H 6  
		 T B L 1 X R 1  
		 P O U 2 F 1  
		 H N R N P C  
		 H M G N 3  
		 G P R 8 5  
		 K I T  
		 R A B 3 9 B  
		 P L A 2 G 4 A  
		 P F D N 6  
		 B B C 3  
		 R A B 1 8  
		 C 3 o r f 5 8  
		 B C L 9  
		 G S P T 2  
		 Z F P 3 6 L 2  
		 M B T P S 2  
		 S U L T 4 A 1  
		 M U C 1 9  
		 P R K D 3  
		 C N T N 3  
		 D G C R 2  
		 R N F 4 4  
		 G R A M D 4  
		 D A Z 1  
		 P I K 3 C 2 A  
		 K I A A 0 5 5 6  
		 D A Z L  
		 A T A D 2 B  
		 C E P 5 5  
		 S F R P 1  
		 T T C 3 3  
		 L U Z P 6  
		 S M P D 3  
		 P A X 8  
		 P A P P A 2  
		 Z B E D 4  
		 C 5 o r f 2 4  
		 G O L G A 4  
		 M A R C H 3  
		 C D Y L  
		 S L C 1 9 A 2  
		 T R I M 2 4  
		 A K I R I N 1  
		 U B E 2 D 3  
		 M S I 2  
		 R N F 1 1 1  
		 M M P 1 5  
		 A T G 4 D  
		 A D A M T S 1 5  
		 G D F 1 0  
		 L H X 1  
		 Z M Y M 2  
		 M E D 1 3  
		 A N K 2  
		 M T M R 2  
		 T M E M 1 8 9 - U B E 2 V 1  
		 S W A P 7 0  
		 F A M 1 9 6 A  
		 Z Z Z 3  
		 K B T B D 8  
		 S E C 2 4 A  
		 K C N J 6  
		 P I P 5 K 1 C  
		 S O A T 1  
		 D L G 5  
		 M A P 3 K 4  
		 T S P A N 1 2  
		 A H D C 1  
		 T A B 2  
		 R N F 1 3 9  
		 A F A P 1  
		 U B E 2 G 1  
		 M A M L 3  
		 R E V 1  
		 P U M 1  
		 K A T 7  
		 S L C 4 A 1 0  
		 M S X 1  
		 I T S N 2  
		 F O X G 1  
		 D N M T 3 A  
		 H O X A 1 0  
		 E R B B 4  
		 A C B D 3  
		 T M E M 1 6 5  
		 V W C 2 L  
		 R A S G R F 1  
		 M L E C  
		 K C N H 7  
		 C D H 2  
		 N U D C D 1  
		 L H X 2  
		 C D R 2  
		 P R D M 1 6  
		 K D M 3 B  
		 B R S K 2  
		 N E U R O D 1  
		 Z N F 7 7 0  
		 W T A P  
		 T S P A N 5  
		 F A M 4 6 A  
		 N D F I P 1  
		 D L G A P 3  
		 U S P 5 4  
		 M O N 2  
		 T G I F 2  
		 A P L P 2  
		 H S F 2  
		 N P T X 1  
		 S O X 1  
		 A S H 1 L  
		 P R R C 2 C  
		 K B T B D 2  
		 K A T N B L 1  
		 S P 4  
		 P L A T  
		 A D R B 1  
		 F I L I P 1 L  
		 T R I O  
		 S O C S 2  
		 S E T D 3  
		 C D H 1 1  
		 U S P 4 2  
		 S T A G 1  
		 N A C C 1  
		 F M N 2  
		 P T C H 1  
		 G M F B  
		 C D H 5  
		 C X X C 5  
		 C D V 3  
		 G O L G A 7  
		 T R I B 1  
		 H L T F  
		 L N P E P  
		 D M D  
		 P Y G O 1  
		 O T U D 7 A  
		 H N R N P F  
		 M F S D 6  
		 C B L L 1  
		 K I A A 1 0 3 3  
		 M E T  
		 C D H 2 0  
		 U B E 2 A  
		 N O G  
		 S L C 7 A 1 1  
		 M E G F 9  
		 P A P D 5  
		 C H I C 2 
		 P A X 5  
		 H D A C 9  
		 C U L 5  
		 K C N A 1  
		 A X I N 2  
		 B A Z 2 B  
		 D O C K 3  
		 E N A H  
		 C E P 1 3 5  
		 L B R  
		 P D C L  
		 G P R 1 5 8  
		 Z E B 2  
		 B T A F 1  
		 P R R 1 1  
		 S R C  
		 M A G I 3  
		 M M G T 1  
		 P I E Z O 1  
		 B C L 2 L 2 - P A B P N 1  
		 P H F 3  
		 T D G  
