Names	total	elements
		 T M E M 5 9  
		 C A M K 4  
		 C P E B 4  
		 U N C 5 D  
		 D C U N 1 D 5  
		 N D N F  
		 C D H 6  
		 R A S S F 8  
TargetScan8.0__miR-106-5p.txt TargetScan8.0__miR-144-3p.txt TargetScan8.0__miR-758-3p.txt	17	 

		 Z B T B 2 0  
		 A T P 2 B 2  
		 C 1 1 o r f 3 0  
		 P K I A  
		 I T G B 6  
		 A D A M T S 5  
		 Z B T B 7 A  
		 U S P 3 1  
		 Z N F 6 1 8  
		 C F L 2  
		 T E T 3  
		 M B N L 3  
		 C S N K 1 A 1  
		 R B M 1 5 B  
		 B H L H E 4 1  
		 S O C S 7  
		 S T 6 G A L N A C 3  
TargetScan8.0__miR-33a-5p.txt TargetScan8.0__miR-33b-5p.txt	295	 
		
		 D U S P 6  
		 L U C 7 L 3  
		 Z N F 8 0 4 B  
		 C D 3 0 2  
		 C A C N A 1 D  
		 K C T D 1  
		 S M G 1  
		 A L K B H 1  
		 C 1 8 o r f 2 5  
		 A N O 8  
		 Z N F 3 2 4  
		 E E F 1 A 1  
		 R E R G  
		 A C 0 0 7 4 0 5 . 2  
		 P A Q R 3  
		 R E C K  
		 K M T 2 D  
		 Z D H H C 3  
		 N R X N 1  
		 Y W H A H  
		 S E M A 3 A  
		 P P P 1 R 9 A  
		 M A P 4 K 4  
		 R F X 7  
		 L P P R 4  
		 M L X I P  
		 G P R 1 3 5  
		 C L G N  
		 S D C 3  
		 I M P A 2  
		 C Y B 5 R 4  
		 C L P X  
		 R C A N 1  
		 B M P 3  
		 A B C B 1 1  
		 G B X 2  
		 T M E M 2 6 0  
		 H C N 1  
		 M D G A 2  
		 S T 3 G A L 6  
		 W N T 1 0 B  
		 D C P 1 A  
		 K C T D 1 6  
		 A D R A 2 A  
		 C S M D 1  
		 N I P A L 4  
		 N S F  
		 S C I N  
		 B A I 3  
		 C A S C 3  
		 E N 2  
		 T R I M 6  
		 S L C 1 7 A 6  
		 E P C 2  
		 S I M 2  
		 D A C H 1  
		 R N F 1 6 5  
		 D D X 4 6  
		 N A A L A D L 2  
		 M L L T 3  
		 M R P S 2 5  
		 N P C 1  
		 I S O C 2  
		 T S H Z 1  
		 M E T T L 9  
		 P O F U T 2  
		 S L C 2 5 A 2 5  
		 M A P 3 K 7  
		 C A L M L 4  
		 K L F 7  
		 D D X 3 X  
		 A P 5 M 1  
		 G A B R A 4  
		 L R R C 4 C  
		 S A T B 2  
		 N D U F B 9  
		 S N A I 2  
		 G D N F  
		 T B X 1 5  
		 F B X O 3 4  
		 H N R N P A 2 B 1  
		 S N R K  
		 R I M B P 2  
		 C C N Y  
		 D E S I 1  
		 H O X C 1 3  
		 A B R  
		 V C L  
		 U B A 2  
		 K I A A 0 0 8 7  
		 C H D 1  
		 B E N D 6  
		 S A M D 4 A  
		 S R E B F 1  
		 D K K 1  
		 O X S R 1  
		 P H F 1 2  
		 A D G B  
		 G P C P D 1  
		 H N R N P A 3  
		 S Y D E 2  
		 K C N K 1  
		 Z N F 2 8 1  
		 K I A A 1 4 3 2  
		 C D C 4 2 B P A  
		 R P 1 1 - 3 1 5 D 1 6 . 2  
		 A N K A R  
		 M T H F D 2  
		 C P T 1 A  
		 S H I S A 5  
		 A B H D 1 3  
		 R N F 1 8 0  
		 A G M A T  
		 I R S 2  
		 C E N D 1  
		 N F I X  
		 B T B D 2  
		 C O L C A 1  
		 D A B 2 I P  
		 A L P K 3  
		 P D I K 1 L  
		 H A S 3  
		 A L 3 5 4 9 9 3 . 1  
		 E P H A 8  
		 R N D 2  
		 M Y P N  
		 G R M 8  
		 S L C 1 6 A 7  
		 S E L 1 L 3  
		 P D E 3 A  
		 S T A U 2  
		 T R A M 2  
		 C D R 2 L  
		 R M N D 5 A  
		 N R I P 1  
		 U N C X  
		 R A P 2 A  
		 P P L  
		 T A R D B P  
		 E I F 2 S 2  
		 Z N F 4 9 6  
		 A X L  
		 P D Z D 8  
		 L D H A  
		 T T C 2 8  
		 S I R T 6  
		 S H I S A 7  
		 I T G B L 1  
		 R P 1 1 - 1 1 3 D 6 . 1 0  
		 P I K 3 R 3  
		 L I N 2 8 A  
		 M T 1 A  
		 W D R 4 7  
		 C D Y L 2  
		 E N C 1  
		 R E E P 1  
		 C N O T 2  
		 K C N K 1 5 
		 Z F P 3 6 L 1  
		 E D N R B  
		 S L C 3 0 A 4  
		 C A M K 2 G  
		 N U T F 2  
		 U N C 7 9  
		 N C O A 1  
		 P I A S 4  
		 G D I 2  
		 R N F 1 1 5  
		 H I P K 1  
		 U B E 2 V 2  
		 C R E B B P  
		 P N M A 2  
		 C S  
		 P I M 3  
		 P S M G 1  
		 C A L N 1  
		 T F D P 2  
		 H U N K  
		 F A M 1 2 0 A  
		 A F F 3  
		 S T T 3 B  
		 L Y 7 5 - C D 3 0 2  
		 M B O A T 2  
		 S L C 1 2 A 5  
		 H A D H B  
		 A B C B 5  
		 P S M E 3  
		 A D O  
		 C R T A M  
		 C P S F 2  
		 R B M 3 3  
		 E H D 4  
		 G A S 1  
		 T M E M 2 0 0 B  
		 F A M 1 6 0 A 1  
		 N A A 1 5  
		 H M X 3  
		 N O M O 2  
		 C N N M 1  
		 T E R F 2  
		 E V I 5  
		 P C N X  
		 P A P O L A  
		 C C N Y L 1  
		 C A C N A 1 E  
		 T R A F 3  
		 D E P T O R  
		 C D K 1 6  
		 F T O  
		 F G F 1 4  
		 S E T D 9  
		 D N A J B 5  
		 K I A A 1 2 1 1 L  
		 A T P 8 B 1  
		 A H C Y L 1  
		 A D D 3  
		 S C N 1 0 A  
		 P D E 8 A  
		 E B A G 9  
		 C E R K  
		 C S N K 1 D  
		 S P A S T  
		 P L E K H M 3  
		 K I A A 2 0 2 6  
		 C N T N 4  
		 K C N C 3  
		 S T S  
		 M R S 2  
		 R N F 1 9 B  
		 S L C 3 5 E 1  
		 H O X D 1 0  
		 K C N J 1  
		 T P M 3  
		 R A B 4 1  
		 Z M I Z 1  
		 P D P N  
		 N L G N 1  
		 P L N  
		 M A P K 8  
		 M S R B 3  
		 F A M 8 1 A  
		 S U V 3 9 H 1  
		 G R I N 3 A  
		 H S 3 S T 4  
		 T M E M 8 6 A  
		 C 8 o r f 8 6  
		 N O M O 1  
		 C T T N B P 2  
		 H E C W 1  
		 G H R  
		 S B N O 1  
		 G S E 1  
		 S P I N 1  
		 S P P L 3  
		 A N O 4  
		 C A P Z B  
		 S K P 1  
		 L A M C 1  
		 X B P 1  
		 H M G N 1  
		 M A C R O D 2  
		 S L U 7  
		 S H 3 K B P 1  
		 R U N X 1 T 1  
		 T T L L 7  
		 M R P L 4 9  
		 N F Y B  
		 K I A A 0 9 0 7  
		 Z B T B 4 6  
		 G P R 8 8  
		 B A C H 1  
		 T I M M 9  
		 A N K R D 4 4  
		 S G C D  
		 N H L H 2  
		 P D P K 1  
		 S E C 2 4 C  
		 P A C S I N 1  
		 T N S 4  
		 K C N J 1 3  
		 M C F D 2  
		 S T 3 G A L 2  
		 Z N F 3 8 5 B  
		 R B P M S 2  
		 A K A P 1 2  
		 E G F L A M  
		 L R R C 4  
		 C A C N A 1 C  
		 N A P 1 L 4  
		 T M E D 7  
		 P R I C K L E 2  
		 E R B B 2 I P  
		 D S C 3  
		 L I N G O 1  
		 T T B K 2  
TargetScan8.0__miR-106-5p.txt TargetScan8.0__miR-144-3p.txt	187	 

		 F A T 4  
		 V L D L R  
		 U H M K 1  
		 P P P 4 R 1 L  
		 S M A D 1  
		 P K N O X 1  
		 U N C 8 0  
		 K D M 6 B  
		 P A K 7  
		 Z N F 8 0 0  
		 A R I D 4 B  
		 E I F 4 G 2  
		 M A P 3 K 9  
		 P T P R J  
		 M E D 1 2 L  
		 C A P N 7  
		 B N C 2  
		 S C N 2 A  
		 A R H G E F 3  
		 N F I B  
		 W D F Y 2  
		 F A M 6 0 A  
		 N E T O 2  
		 L P P R 5  
		 M K L 2  
		 R G M B  
		 L Y S M D 3  
		 V A N G L 1  
		 R U N X 1  
		 S A S H 1  
		 C C N T 2  
		 B B X  
		 D Y R K 1 A  
		 Z N F 1 4 8  
		 A F F 4  
		 W N K 3  
		 D I P 2 C  
		 P T P N 4  
		 G A B B R 2  
		 T P 5 3 I N P 2  
		 L C O R  
		 S L C 3 0 A 7  
		 A J A P 1  
		 R A P G E F 2  
		 R R A G D  
		 D A Z A P 2  
		 Z N F 3 6 2  
		 M A P 3 K 8  
		 B I C D 2  
		 B C L 2 L 1 1  
		 M I E R 3  
		 Z N F 3 6 7  
		 G A B 1  
		 K L F 3  
		 A T X N 1 L  
		 P B X 3  
		 M A P K 1  
		 B I C C 1  
		 A N K R D 2 8  
		 B Z W 1  
		 M C F 2 L  
		 I P O 7  
		 N A N O S 1  
		 C R E B 1  
		 R B M 2 4  
		 P U R A  
		 P L A G 1  
		 A C B D 5  
		 A T X N 1  
		 N O L 4  
		 A N K R D 5 2  
		 T E N M 1  
		 S S X 2 I P  
		 T M B I M 6  
		 E 2 F 3  
		 T A O K 1  
		 E P H A 7  
		 F A M 1 6 8 A  
		 K P N A 2  
		 T N K S 2  
		 C 2 C D 2  
		 D P Y S L 5  
		 C C N G 2  
		 E G F R  
		 T R I M 7 1  
		 F A T 3  
		 Z F A N D 4  
		 C 6 o r f 6 2  
		 G J A 1  
		 Z B T B 3 7  
		 D S T Y K  
		 D C B L D 2  
		 A R A P 2  
		 E T V 1  
		 T G F B R 2  
		 P R R X 1  
		 P A F A H 1 B 1  
		 E F C A B 1 4  
		 S O C S 6  
		 G I D 4  
		 S L C 4 A 4  
		 S I K 2  
		 R A B 1 1 F I P 1  
		 E L A V L 2  
		 R E V 3 L  
		 A R H G A P 2 6  
		 P P P 3 R 1  
		 B C L 6  
		 H I V E P 3  
		 F A M 1 9 9 X  
		 S O S 1  
		 K I A A 0 2 3 2  
		 P H T F 2  
		 S P O P L  
		 A C S L 4  
		 R O C K 2  
		 O T U D 4  
		 I N O 8 0 D  
		 M A P 3 K 2  
		 S H 3 P X D 2 A  
		 N A C C 2  
		 O T U D 3  
		 S O B P  
		 M T S S 1 L  
		 F B X L 3  
		 N E U R L 1 B  
		 A P P  
		 T M C C 1  
		 K L F 1 2  
		 P T H L H  
		 A N K R D 5 0  
		 T C F 2 1  
		 F Z D 4  
		 K L F 9  
		 F N D C 3 A  
		 T N F S F 1 1  
		 P H F 6  
		 T A L 1  
		 P P P 2 R 2 A  
		 Z N F 7 0 4  
		 E F N B 2  
		 R G L 1  
		 G L T S C R 1 L  
		 S T C 1  
		 I T C H  
		 W E E 1  
		 F B X W 1 1  
		 C U L 3  
		 R A R B  
		 Z N F 5 3 2  
		 T N R C 6 A  
		 P P A R G C 1 B  
		 D Y R K 2  
		 D D H D 1  
		 T P 5 3 I N P 1  
		 S E S N 3  
		 Z B T B 1 8  
		 T R I M 4 4  
		 F O X F 1  
		 S Y A P 1  
		 T N R C 6 B  
		 L M O 3  
		 R A P 2 C  
		 A G O 3  
		 M Y C N  
		 P T E N  
		 C E P 1 7 0  
		 F I G N  
		 I K Z F 4  
		 W H S C 1 L 1  
		 D O K 6  
		 L Z I C  
		 A N K R D 1 2  
		 S P R E D 1  
		 S H I S A 6  
		 A R L 4 C  
		 R N F 3 8  
		 T A N C 1  
		 Z B T B 2 1  
